role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,0.100000,input_1,1,0.011040,120.811656,0.997738,0.000003,0.000072,0.000240,0.000017,63.254400,60.405828,0.045232,0.562901,6225.439970,2970.291388,0.000000,0.000000,9307.603179,False,True,True,,-0.001630,-0.001582,-0.050000,-0.050094,-0.050091,153,multi_action,6,3217.037272
baseline,0.100000,input_1,2,0.011021,127.561412,0.997813,0.000000,0.000071,0.000240,0.000017,63.147797,63.780706,0.043735,0.560070,6214.779715,3139.035295,0.000000,0.000000,9468.278341,False,True,True,,-0.001678,-0.001652,-0.050000,-0.049902,-0.049925,155,multi_action,6,3217.037272
baseline,0.100000,input_2,1,0.000486,144.523373,0.979969,0.000023,0.000017,0.000048,0.000026,2.785884,72.261686,0.400623,0.195836,178.588428,3563.084317,0.000000,0.000000,3802.466052,False,True,True,,-0.001534,-0.001584,0.000000,0.000048,0.000025,137,multi_action,6,3217.037272
baseline,0.100000,input_2,2,0.000508,136.856240,0.958656,0.000000,0.000019,0.000048,0.000022,2.910676,68.428120,0.826887,0.189682,191.067597,3371.405989,0.000000,0.000000,3620.428321,False,True,True,,-0.001582,-0.001642,0.000000,0.000048,0.000096,137,multi_action,6,3217.037272
baseline,0.100000,input_3,1,0.012324,130.680617,0.998701,0.000000,0.000089,0.000288,0.000019,70.609317,65.340309,0.025988,0.679354,6960.931707,3217.015435,0.000000,0.000000,10301.174880,False,True,True,,-0.001726,-0.001703,0.050000,0.050046,0.050070,152,multi_action,6,3217.037272
baseline,0.100000,input_3,2,0.012304,129.707802,0.999724,0.000000,0.000087,0.000336,0.000021,70.495658,64.853901,0.005526,0.731253,6949.565811,3192.695050,0.000000,0.000000,12265.006648,False,False,False,,-0.001678,-0.001615,0.050000,0.050094,0.050097,155,multi_action,6,3217.037272
candidate,0.090000,input_1,1,0.011734,129.541483,0.996086,0.000000,0.000112,0.000383,0.000022,67.232535,64.770742,0.078283,0.872647,6623.253479,3188.537086,0.000000,0.000000,11931.295588,False,False,False,,-0.001582,-0.001562,-0.050000,-0.049998,-0.050067,153,multi_action,6,3554.027994
candidate,0.090000,input_1,2,0.011863,134.661131,0.997616,0.000000,0.000138,0.000479,0.000025,67.970067,67.330565,0.047689,1.073010,6697.006658,3316.528264,0.000000,0.000000,12135.917868,False,False,False,,-0.001486,-0.001531,-0.050000,-0.049998,-0.050018,154,multi_action,6,3554.027994
candidate,0.090000,input_2,1,0.000534,159.855329,1.000704,0.000012,0.000000,0.000000,0.000000,3.062002,79.927664,0.014080,0.000000,206.200242,3946.383220,0.000000,0.000000,4219.591116,False,True,True,,-0.001582,-0.001593,0.000000,0.000096,0.000084,136,multi_action,6,3554.027994
candidate,0.090000,input_2,2,0.000596,220.657528,0.999022,0.000034,0.000016,0.000096,0.000014,3.416684,110.328764,0.019563,0.209512,241.668425,5466.438193,0.000000,0.000000,5799.895960,False,True,True,,-0.001678,-0.001669,0.000000,-0.000048,-0.000034,136,multi_action,6,3554.027994
