role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,0.500000,input_1,1,0.003768,33.439556,1.000709,0.000093,0.000023,0.000048,0.000011,21.587108,16.719778,0.014184,0.166573,2058.710836,785.988895,0.000000,1000.000000,3879.749494,False,True,True,,0.000000,0.000000,-0.050000,-0.050046,-0.050049,155,multi_action,6,1758.433222
baseline,0.500000,input_1,2,0.003810,26.992722,0.999516,0.000078,0.000049,0.000144,0.000017,21.827220,13.496361,0.009672,0.382456,2082.722003,624.818056,0.000000,1000.000000,3740.358014,False,True,True,,0.000048,0.000083,-0.050000,-0.050094,-0.050016,155,multi_action,6,1758.433222
baseline,0.500000,input_2,1,0.000024,-29.554278,0.000000,0.000000,0.000000,0.000000,0.000000,0.136181,-14.777139,20.000000,0.000000,0.000000,0.000000,80.000000,0.000000,73.314469,False,False,True,,-0.000048,-0.000003,0.000000,-0.000048,-0.000048,136,multi_action,6,1758.433222
baseline,0.500000,input_2,2,0.000009,-24.365752,0.000000,0.000000,0.000000,0.000000,0.000000,0.049956,-12.182876,20.000000,0.000000,0.000000,0.000000,80.000000,0.000000,75.303655,False,False,True,,-0.000048,0.000003,0.000000,-0.000048,-0.000048,134,multi_action,6,1758.433222
baseline,0.500000,input_3,1,0.003977,25.699240,0.998971,0.000085,0.000016,0.000048,0.000008,22.784781,12.849620,0.020573,0.132605,2178.478133,592.480993,0.000000,1000.000000,3804.095049,False,True,True,,-0.000048,-0.000048,0.050000,0.049902,0.049913,153,multi_action,6,1758.433222
baseline,0.500000,input_3,2,0.003971,25.420572,0.999313,0.000082,0.000024,0.000048,0.000008,22.752666,12.710286,0.013748,0.158843,2175.266624,585.514309,0.000000,1000.000000,3793.784687,False,True,True,,-0.000048,-0.000048,0.050000,0.050046,0.050060,153,multi_action,6,1758.433222
candidate,0.450000,input_1,1,0.004109,34.199119,1.000803,0.000066,0.000022,0.000048,0.000008,23.543267,17.099559,0.016065,0.153807,2254.326729,804.977968,0.000000,1000.000000,4096.608532,False,True,True,,0.000048,0.000045,-0.050000,-0.049998,-0.049932,152,multi_action,6,1848.055505
candidate,0.450000,input_1,2,0.004124,32.653219,0.999935,0.000109,0.000047,0.000144,0.000013,23.627393,16.326609,0.001300,0.360163,2262.739345,766.330465,0.000000,1000.000000,4065.938898,False,True,True,,0.000096,0.000084,-0.050000,-0.049998,-0.050033,154,multi_action,6,1848.055505
candidate,0.450000,input_2,1,0.000039,-32.384316,0.979911,0.000048,0.000000,0.000000,0.000000,0.224515,-16.192158,0.401788,0.000000,0.000000,0.000000,0.000000,0.000000,-12.628764,False,True,True,,0.000048,-0.000001,0.000000,0.000096,0.000048,135,multi_action,6,1848.055505
candidate,0.450000,input_2,2,0.000035,-42.671593,1.000000,0.000048,0.000017,0.000048,0.000008,0.201970,-21.335797,0.000000,0.137671,0.000000,0.000000,0.000000,0.000000,-16.797832,True,True,True,,0.000096,0.000048,0.000000,0.000144,0.000096,135,multi_action,6,1848.055505
candidate,0.450000,input_3,1,0.004287,34.202688,1.000079,0.000004,0.000000,0.000000,0.000000,24.561867,17.101344,0.001575,0.000000,2356.186691,805.067212,0.000000,0.000000,3199.497239,False,True,True,,0.000144,0.000144,0.050000,0.049998,0.049994,153,multi_action,6,1848.055505
candidate,0.450000,input_3,2,0.004281,34.553070,0.998927,0.000117,0.000028,0.000144,0.000013,24.530293,17.276535,0.021469,0.297214,2353.029270,813.826759,0.000000,1000.000000,4205.361524,False,True,True,,0.000000,-0.000036,0.050000,0.050094,0.049977,153,multi_action,6,1848.055505
candidate,0.550000,input_1,1,0.003526,25.738930,0.999904,0.000032,0.000013,0.000048,0.000008,20.202832,12.869465,0.001924,0.121764,1920.283249,593.473243,0.000000,0.000000,2544.316259,False,True,True,,0.000048,0.000042,-0.050000,-0.049998,-0.049966,153,multi_action,6,nan
candidate,0.550000,input_1,2,0.003520,25.716775,1.000161,0.000087,0.000024,0.000048,0.000008,20.170571,12.858387,0.003214,0.158420,1917.057136,592.919374,0.000000,1000.000000,3540.513805,False,True,True,,-0.000048,-0.000051,-0.050000,-0.049950,-0.049959,153,multi_action,6,nan
candidate,0.550000,input_2,1,0.000016,-26.635306,0.439363,0.000048,0.000022,0.000048,0.000008,0.090160,-13.317653,11.212734,0.155832,0.000000,0.000000,43.000987,0.000000,35.318124,False,False,True,,0.000144,0.000099,0.000000,0.000192,0.000144,134,multi_action,6,nan
candidate,0.550000,input_2,2,0.000000,inf,0.000000,0.000000,inf,inf,inf,0.000000,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.000192,0.000192,0.000000,0.000192,0.000192,133,multi_action,6,nan
