role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,0.400000,input_1,1,0.005317,40.323794,0.999052,0.000035,0.000012,0.000048,0.000018,30.463074,20.161897,0.018966,0.150866,2946.307352,958.094842,0.000000,0.000000,3951.074959,False,True,True,,-0.030008,-0.030056,0.030000,0.030008,0.030021,122,multi_action,4,1943.520718
baseline,0.400000,input_1,2,0.005294,43.114350,0.999290,0.000141,0.000052,0.000144,0.000023,30.330498,21.557175,0.014197,0.411773,2933.049763,1027.858756,0.000000,1000.000000,5008.694193,False,True,True,,-0.030056,-0.030104,0.030000,0.030008,0.030011,122,multi_action,4,1943.520718
baseline,0.400000,input_2,1,0.000066,-32.913703,-0.073584,0.000096,0.000042,0.000096,0.000014,0.375937,-16.456852,21.471680,0.294410,0.000000,0.000000,86.196549,1000.000000,1078.922129,False,False,True,,-0.030056,-0.030125,-0.030000,-0.030104,-0.030056,93,multi_action,4,1943.520718
baseline,0.400000,input_2,2,0.000034,-23.024063,-0.344106,0.000048,0.000022,0.000048,0.000010,0.195444,-11.512032,26.882126,0.160855,0.000000,0.000000,108.977374,0.000000,106.764151,False,False,True,,-0.030104,-0.030156,-0.030000,-0.030152,-0.030104,92,multi_action,4,1943.520718
candidate,0.500000,input_1,1,0.004476,34.470103,1.001009,0.000074,0.000031,0.000096,0.000026,25.646390,17.235051,0.020190,0.298926,2464.638998,811.752565,0.000000,1000.000000,4315.980504,False,True,True,,-0.030200,-0.030152,0.030000,0.029961,0.029982,121,multi_action,4,nan
candidate,0.500000,input_1,2,0.004436,34.508637,0.999171,0.000072,0.000029,0.000096,0.000015,25.415815,17.254319,0.016586,0.254531,2441.581464,812.715934,0.000000,1000.000000,4293.648079,False,True,True,,-0.030008,-0.030008,0.030000,0.030008,0.030080,120,multi_action,4,nan
candidate,0.500000,input_2,1,0.000005,-16.274416,0.274874,0.000048,0.000010,0.000048,0.000010,0.030334,-8.137208,14.502527,0.119917,0.000000,0.000000,56.852747,0.000000,54.058904,False,False,True,,-0.030008,-0.030018,-0.030000,-0.029961,-0.030008,91,multi_action,4,nan
candidate,0.500000,input_2,2,0.000024,inf,0.000000,0.000000,inf,inf,inf,0.137329,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,-0.029961,-0.029961,-0.030000,-0.030008,-0.029961,92,multi_action,4,nan
candidate,0.575000,input_1,1,0.003950,34.527957,0.999976,0.000074,0.000038,0.000096,0.000015,22.633333,17.263978,0.000472,0.285752,2163.333348,813.198919,0.000000,1000.000000,4013.119777,False,True,True,,-0.030008,-0.030008,0.030000,0.029913,0.029934,118,multi_action,4,1908.200499
candidate,0.575000,input_1,2,0.003970,32.734260,0.999321,0.000165,0.000035,0.000144,0.000026,22.748347,16.367130,0.013571,0.364851,2174.834668,768.356500,0.000000,1000.000000,3979.219037,False,False,True,,-0.029913,-0.029961,0.030000,0.030152,0.030083,122,multi_action,4,1908.200499
candidate,0.575000,input_2,1,0.000040,-33.133151,-2.118322,0.000048,0.000037,0.000096,0.000026,0.226479,-16.566576,62.366432,0.319415,0.000000,0.000000,258.384976,0.000000,261.109510,False,False,True,,-0.029961,-0.029984,-0.030000,-0.030056,-0.029961,93,multi_action,4,1908.200499
