role,kp,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,search_cost_std,repeat_count,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count
baseline,0.770000,0.009020,22.136483,0.999955,0.000106,0.000043,0.000152,0.000023,51.683003,11.068241,0.002133,0.389327,5068.300301,503.412065,0.000000,1000.000000,6632.445160,1919.742333,6,False,False,True,aggregated_from_multi_actions,0.499934,0.499936,0.000000,0.000000,-0.000010,208
candidate,0.650000,0.010495,26.917559,1.000114,0.000073,0.000035,0.000112,0.000023,60.130331,13.458780,0.002346,0.317567,5913.033122,622.938981,0.000000,1000.000000,7440.362161,2086.681685,6,False,True,True,aggregated_from_multi_actions,0.499934,0.499937,0.000000,0.000096,0.000048,215
candidate,0.750000,0.009195,23.671778,1.000199,0.000062,0.000033,0.000128,0.000023,52.683859,11.835889,0.005115,0.330021,5168.385884,541.794445,0.000000,1000.000000,6439.165855,1954.220573,6,False,True,True,aggregated_from_multi_actions,0.500126,0.500068,0.000000,0.000000,0.000035,215
candidate,0.850000,0.008321,20.369454,1.000051,0.000125,0.000033,0.000128,0.000020,47.676035,10.184727,0.001984,0.320335,4667.603472,459.236362,0.000000,1000.000000,6016.157647,1629.346881,6,False,False,True,aggregated_from_multi_actions,0.500030,0.500031,0.000000,0.000000,0.000078,214
candidate,0.930000,0.007720,19.472798,1.000081,0.000165,0.000041,0.000144,0.000023,44.234483,9.736399,0.002787,0.373866,4323.448330,436.819954,0.000000,1000.000000,6145.812850,1852.091283,6,False,False,False,aggregated_from_multi_actions,0.500078,0.500075,0.000000,0.000096,0.000095,216
candidate,0.876000,0.008126,21.633135,1.000008,0.000171,0.000039,0.000128,0.000018,46.559476,10.816567,0.001541,0.334450,4555.947601,490.828372,0.000000,1000.000000,6102.156313,1578.740946,6,False,False,True,aggregated_from_multi_actions,0.499934,0.499944,0.000000,0.000048,0.000018,215
best_candidate,0.842000,0.008388,21.605363,0.999908,0.000104,0.000027,0.000096,0.000020,48.059490,10.802681,0.003191,0.263246,4705.949045,490.134065,0.000000,1000.000000,5919.583833,1887.173106,6,False,False,True,aggregated_from_multi_actions,0.500030,0.499967,0.000000,-0.000096,-0.000091,214
candidate,0.812000,0.008735,22.329296,0.999695,0.000070,0.000025,0.000088,0.000018,50.045496,11.164648,0.006446,0.239598,4904.549638,508.232393,0.000000,1000.000000,6138.547323,1897.211548,6,False,True,True,aggregated_from_multi_actions,0.499982,0.499979,0.000000,0.000000,-0.000001,214
candidate,0.872000,0.008143,21.113617,0.999897,0.000137,0.000034,0.000104,0.000021,46.654506,10.556809,0.002109,0.298544,4565.450618,477.840433,0.000000,1000.000000,6098.540803,1689.905350,6,False,False,True,aggregated_from_multi_actions,0.500126,0.500129,0.000000,0.000096,0.000092,214
candidate,0.832250,0.008476,22.636330,0.999936,0.000081,0.000026,0.000104,0.000019,48.562128,11.318165,0.002011,0.266727,4756.212765,515.908258,0.000000,1000.000000,6163.204883,1544.881726,6,False,True,True,aggregated_from_multi_actions,0.499934,0.499998,0.000000,0.000096,0.000096,214
candidate,0.843500,0.008235,21.425377,0.999927,0.000130,0.000048,0.000176,0.000024,47.183727,10.712688,0.003764,0.435330,4618.372651,485.634424,0.000000,1000.000000,6493.312892,1888.648108,6,False,False,False,aggregated_from_multi_actions,0.500078,0.500055,0.000000,0.000144,0.000060,214
candidate,0.863750,0.008234,19.889137,0.999937,0.000093,0.000041,0.000144,0.000025,47.179543,9.944568,0.003555,0.379544,4617.954347,447.228415,0.000000,1000.000000,5953.841954,1575.678090,6,False,False,True,aggregated_from_multi_actions,0.500030,0.500100,0.000000,0.000144,0.000094,212
candidate,0.857000,0.008247,25.245958,0.999775,0.000121,0.000028,0.000088,0.000018,47.250388,12.622979,0.004736,0.251287,4625.038804,581.148942,0.000000,1000.000000,6096.996678,1890.139427,6,False,False,True,aggregated_from_multi_actions,0.499934,0.499955,0.000000,-0.000048,-0.000001,216
