role,kp,action_label,repeat_index,rmse_rad,phase_lag_deg,amplitude_ratio,overshoot_rad,tail_std_rad,tail_peak_to_peak_rad,tail_diff_rms_rad,rmse_term,phase_lag_term,amplitude_ratio_term,smoothness_term,rmse_penalty,phase_lag_penalty,amplitude_ratio_penalty,overshoot_penalty,search_cost,strict_ok,expand_safe,stable_ok,note,initial_position_rad,initial_reference_position_rad,target_position_rad,final_position_rad,final_reference_position_rad,sample_count,summary_action_label,summary_repeat_count,summary_search_cost_std
baseline,1.000000,input_1,1,0.000028,inf,0.000000,0.000000,inf,inf,inf,0.160872,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.199945,0.199945,0.200000,0.199945,0.199945,137,multi_action,6,nan
baseline,1.000000,input_1,2,0.000011,-14.569459,0.000000,0.000000,0.000008,0.000048,0.000008,0.060812,-7.284729,20.000000,0.108077,0.000000,0.000000,80.000000,0.000000,79.287066,False,False,True,,0.199801,0.199846,0.200000,0.199801,0.199801,136,multi_action,6,nan
baseline,1.000000,input_2,1,0.007038,25.897072,1.000059,0.000113,0.000007,0.000048,0.000010,40.326144,12.948536,0.001172,0.110884,3932.614425,597.426799,0.000000,1000.000000,5580.781933,False,True,True,,0.199945,0.199945,0.500000,0.499982,0.499964,178,multi_action,6,nan
baseline,1.000000,input_2,2,0.006813,14.071764,1.000061,0.000059,0.000029,0.000096,0.000024,39.036661,7.035882,0.001214,0.284891,3803.666113,301.794088,0.000000,1000.000000,5150.268316,False,True,True,,0.199801,0.199801,0.500000,0.500078,0.500067,190,multi_action,6,nan
baseline,1.000000,input_3,1,0.005669,25.075349,0.999948,0.000079,0.000063,0.000192,0.000024,32.478277,12.537675,0.001043,0.504397,3147.827678,576.883732,0.000000,1000.000000,4767.472286,False,True,True,,0.199993,0.199990,0.000000,-0.000048,-0.000017,179,multi_action,6,nan
baseline,1.000000,input_3,2,0.005740,16.117670,0.999972,0.000196,0.000014,0.000048,0.000016,32.886130,8.058835,0.000562,0.153687,3188.612958,352.941754,0.000000,1000.000000,4580.964893,False,False,True,,0.199849,0.199864,0.000000,0.000000,0.000052,176,multi_action,6,nan
candidate,0.800000,input_1,1,0.000054,-36.996417,0.885563,0.000144,0.000033,0.000096,0.000012,0.308707,-18.498209,2.288733,0.257079,0.000000,0.000000,5.426243,1000.000000,991.637105,False,False,True,,0.199945,0.199933,0.200000,0.199945,0.199945,136,multi_action,6,nan
candidate,0.800000,input_1,2,0.000050,inf,0.000000,0.000000,inf,inf,inf,0.285472,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.199945,0.199945,0.200000,0.199945,0.199945,137,multi_action,6,nan
candidate,0.800000,input_2,1,0.008263,19.681968,1.000123,0.000111,0.000044,0.000144,0.000025,47.345865,9.840984,0.002458,0.392068,4634.586507,442.049197,0.000000,1000.000000,6132.051005,False,True,True,,0.199897,0.199945,0.500000,0.499934,0.499919,192,multi_action,6,nan
candidate,0.800000,input_2,2,0.008281,24.973290,1.000055,0.000115,0.000039,0.000144,0.000021,47.445366,12.486645,0.001097,0.361154,4644.536587,574.332259,0.000000,1000.000000,6276.484379,False,True,True,,0.199849,0.199849,0.500000,0.499886,0.499915,191,multi_action,6,nan
candidate,0.800000,input_3,1,0.006871,25.445156,1.000183,0.000088,0.000035,0.000144,0.000018,39.369326,12.722578,0.003668,0.335273,3836.932587,586.128910,0.000000,1000.000000,5472.777439,False,True,True,,0.200089,0.200027,0.000000,-0.000048,-0.000056,180,multi_action,6,nan
candidate,0.800000,input_3,2,0.006838,21.546646,0.999222,0.000027,0.000036,0.000096,0.000023,39.179678,10.773323,0.015552,0.303954,3817.967782,488.666155,0.000000,0.000000,4354.588139,False,True,True,,0.199897,0.200026,0.000000,0.000000,-0.000069,180,multi_action,6,nan
candidate,0.900000,input_1,1,0.000058,inf,0.000000,0.000000,inf,inf,inf,0.332239,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.199897,0.199896,0.200000,0.199945,0.199897,136,multi_action,6,nan
candidate,0.900000,input_1,2,0.000055,inf,0.000000,0.000000,inf,inf,inf,0.314825,inf,inf,inf,0.000000,inf,inf,0.000000,inf,False,False,False,reference step too small,0.199945,0.199945,0.200000,0.199897,0.199945,137,multi_action,6,nan
candidate,0.900000,input_2,1,0.007493,16.743569,1.000061,0.000056,0.000019,0.000048,0.000024,42.930115,8.371785,0.001221,0.196371,4193.011541,368.589235,0.000000,1000.000000,5611.326810,False,True,True,,0.199897,0.199897,0.500000,0.500078,0.500070,190,multi_action,6,nan
candidate,0.900000,input_2,2,0.007540,15.817268,1.000027,0.000118,0.000028,0.000096,0.000018,43.200905,7.908634,0.000530,0.262350,4220.090516,345.431695,0.000000,1000.000000,5615.181331,False,True,True,,0.199945,0.199941,0.500000,0.499982,0.500007,189,multi_action,6,nan
candidate,0.900000,input_3,1,0.006237,25.411766,0.999957,0.000101,0.000019,0.000048,0.000019,35.736754,12.705883,0.000868,0.180913,3473.675369,585.294160,0.000000,1000.000000,5104.961663,False,True,True,,0.199993,0.200012,0.000000,-0.000096,-0.000091,178,multi_action,6,nan
candidate,0.900000,input_3,2,0.006172,17.225830,0.999778,0.000030,0.000051,0.000144,0.000021,35.363336,8.612915,0.004441,0.400857,3436.333596,380.645752,0.000000,0.000000,3859.434555,False,True,True,,0.199849,0.199868,0.000000,0.000000,-0.000066,183,multi_action,6,nan
